"PHB3.MID46-48.P1.apr13","S1HB3.MID96-96.P1.dec13","S1HB3.MID110-110.P1.jan14","S1HB3.MID109-109.P3.jan14","S1HB3.MID102-102.P1.nov13","S2HB3.MID109-109.P1.dec15","S2HB3.MID109-109.P2.dec15","S2HB3.MID109-109.P3.dec15","S2HB3.MID109-109.P4.dec15","S2HB3.MID109-109.P5.dec15","S2HB3.MID109-109.P6.dec15","S3HB3.MID109-109.P1.May16","S3HB3.MID109-109.P2.May16","S3HB3.MID109-109.P3.May16","S3HB3.MID109-109.P4.May16","S3HB3.MID109-109.P5.May16","S3HB3.MID109-109.P6.May16","S4MRSHB3.MID109-109.P1.Dec16","S4MRSHB3.MID109-109.P2.Dec16","S4MRSHB3.MID109-109.P3.Dec16","S4MRSHB3.MID109-109.P4.Dec16","S4MRSHB3.MID109-109.P5.Dec16","S4MRSHB3.MID109-109.P6.Dec16","S5MRSHB3.MID2-2.P1.Jun17","S5MRSHB3.MID2-2.P2.Jun17","S5MRSHB3.MID2-2.P3.Jun17","S5MRSHB3.MID2-2.P4.Jun17","S5MRSHB3.MID2-2.P5.Jun17","S5MRSHB3.MID2-2.P6.Jun17","S6MRSHB3.MID109-109.P1.May18","S6MRSHB3.MID109-109.P2.May18","S6MRSHB3.MID109-109.P3.May18","S6MRSHB3.MID109-109.P4.May18","HB3.MID2-2.P1.dec16","HB3.MID2-2.P2.dec16","HB3.MID2-2.P3.dec16","HB3.MID2-2.P4.dec16","DBLa_counts","Ups"
"M00566:68:000000000-ARD58:1:1112:21546:11180","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00123:211:000000000-BYH2N:1:1111:7375:17254","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","A"
"M00123:163:000000000-B5J7V:1:1112:22564:18957","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00595:54:000000000-A7CT0:1:2102:13512:15928","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00123:211:000000000-BYH2N:1:2114:21215:5471","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00123:211:000000000-BYH2N:1:1106:12570:23391","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00123:210:000000000-BTDTV:1:2112:9819:8651","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00566:160:000000000-B5GTN:1:1109:9151:2396","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","A"
"M00123:210:000000000-BTDTV:1:1103:23575:11619","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","A"
"M00123:98:000000000-AWVWT:1:2105:8555:7135","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","A"
"M00123:115:000000000-AWP2U:1:2102:7822:6074","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00566:114:000000000-AWM6N:1:2117:18510:6408","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00595:54:000000000-A7CT0:1:1107:24083:11329","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00566:160:000000000-B5GTN:1:1105:22917:10296","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","A"
"M01896:15:000000000-A7EN9:1:2103:12403:3713","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00595:42:000000000-A5J1T:1:2106:12898:18063","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M01896:2:000000000-A69JN:1:1116:15181:11222","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00595:54:000000000-A7CT0:1:1115:12800:18503","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","A"
"M00595:42:000000000-A5J1T:1:2111:22441:16735","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00566:114:000000000-AWM6N:1:2117:21618:11645","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00595:42:000000000-A5J1T:1:2118:14058:20300","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00595:42:000000000-A5J1T:1:2110:4818:5691","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00566:68:000000000-ARD58:1:2119:19806:20440","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00123:38:000000000-AN6VN:1:2113:26407:10987","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00123:210:000000000-BTDTV:1:2114:25030:8440","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M01896:14:000000000-A7ERE:1:1108:13114:4157","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","34","BC"
