"","Colombia","Ecuador","French Guiana","Peru","Venezuela"
"M00123:210:000000000-BTDTV:1:1103:16191:18247",1,1,1,1,1
"Gc23.c31f6s14",0,1,1,1,1
"G3st44.c30f9s11",0,1,1,1,1
"M00123:210:000000000-BTDTV:1:2103:6764:11299",1,1,0,1,1
"Gc19.c9f9s20",0,1,1,1,1
"M00123:211:000000000-BYH2N:1:1114:7575:23737",1,1,0,1,1
"G3st14.c18f15s21",0,1,1,1,1
"Gc8.c6f61s78",0,0,1,0,1
"M00123:211:000000000-BYH2N:1:1115:23610:21855",1,1,0,1,0
"Gc19.c39f7s8",0,1,1,1,1
"M00123:210:000000000-BTDTV:1:2104:5314:10310",1,1,0,1,0
"G3st20.c20f44s61",0,1,1,1,1
"M00123:210:000000000-BTDTV:1:1103:25940:12631",1,1,1,0,1
"M00123:210:000000000-BTDTV:1:1104:2955:13581",1,1,0,1,0
"G3st12.c47f5s9",0,0,1,0,1
"G3st46.c9f36s41",0,1,1,1,1
"M00123:211:000000000-BYH2N:1:2117:21308:19287",0,1,0,1,1
"Gc19.c33f7s9",0,1,1,1,1
"G3st7.c9f28s38",0,0,1,0,0
"M00123:211:000000000-BYH2N:1:1109:24945:11570",1,1,0,1,1
"G3st48.c24f8s9",0,1,1,0,1
"V9.c13f15s22",1,1,0,1,1
"M00123:210:000000000-BTDTV:1:2107:10599:17357",1,1,0,1,0
"M00123:210:000000000-BTDTV:1:1114:14737:8935",0,1,0,1,0
"G3st28.c20f8s10",0,0,1,1,1
"G3st32.c34f3s4",0,1,1,0,1
"G3st2.c45f18s23",0,1,1,1,1
"Gc37.c44f11s19",0,0,1,0,1
"Gc42.c10f54s86",0,0,1,1,1
"Gc21.c16f20s46",0,0,1,0,1
"M00123:211:000000000-BYH2N:1:1109:4149:11936",0,1,0,1,0
"M00123:210:000000000-BTDTV:1:1117:25014:11472",0,1,0,1,0
"M00123:211:000000000-BYH2N:1:1106:26301:11960",0,1,0,1,0
"G3st34.c31f8s11",1,1,1,0,1
"Gc6.c29f7s16",0,0,1,0,0
"P64.c16f11s19",0,1,0,1,0
"Gc31.c9f7s8",0,0,1,1,0
"G3st6.c14f36s45",0,0,1,0,1
"Col4.c7f34s42",1,1,1,1,1
"Gc26.c0f6s11",0,1,1,1,0
"M00123:210:000000000-BTDTV:1:2110:7883:10088",0,1,0,1,0
"M00123:210:000000000-BTDTV:1:2118:5933:11541",0,1,0,1,0
"G3st32.c19f6s7",0,0,1,0,0
"Gc42.c8f62s89",0,0,1,0,1
"V14.c1f24s28",0,0,1,1,1
"Gc39.c56f5s6",1,1,1,0,1
"Gc24.c13f10s17",0,1,1,0,1
"M00123:210:000000000-BTDTV:1:1101:4844:14664",0,1,0,1,0
"M00123:210:000000000-BTDTV:1:1108:13482:14606",0,1,0,1,0
"M00123:211:000000000-BYH2N:1:1117:25151:10610",1,1,0,1,0
"M00123:211:000000000-BYH2N:1:2102:16171:18830",1,1,1,0,1
"G3st26.c20f5s6",0,1,1,1,1
"M00123:210:000000000-BTDTV:1:2112:7695:13403",0,1,1,0,1
"M00123:211:000000000-BYH2N:1:1117:23082:15265",1,1,0,0,0
"M00123:211:000000000-BYH2N:1:2115:8900:15244",0,1,0,1,1
"P32.c22f7s13",0,1,1,1,1
"M00123:210:000000000-BTDTV:1:1101:18748:17774",1,1,0,1,0
"P64.c25f9s10",0,1,0,1,0
"Gc17.c54f5s9",0,0,1,0,1
"Gc11.c8f33s47",0,0,1,0,1
"Gc45.c35f25s37",0,1,1,0,1
"M00123:211:000000000-BYH2N:1:1101:10890:8741",1,1,0,1,0
"Gc11.c9f32s45",0,0,1,0,0
"M00123:210:000000000-BTDTV:1:2116:12993:2934",1,1,0,0,0
"G3st48.c9f9s13",0,0,1,0,1
"G3st3.c42f14s15",1,1,1,1,1
"G3st8.c44f4s11",0,1,1,1,0
"G3st23.c14f5s10",0,0,1,1,1
"M00123:210:000000000-BTDTV:1:2119:23595:19244",0,1,0,0,0
"G3st40.c26f10s13",0,0,1,0,0
"M00123:210:000000000-BTDTV:1:1103:15433:13444",0,1,0,0,0
"Gc11.c43f11s16",0,0,1,0,0
"Gc21.c48f17s23",0,0,1,0,0
"Gc5.c4f36s46",1,1,1,1,1
"M00123:210:000000000-BTDTV:1:1103:12720:7885",0,1,0,0,0
"M00123:211:000000000-BYH2N:1:1105:13874:13727",0,1,0,0,0
"M00123:211:000000000-BYH2N:1:1112:13610:21315",0,1,0,1,0
"M00123:211:000000000-BYH2N:1:2116:10588:6831",0,1,0,1,0
"M00123:211:000000000-BYH2N:1:1112:17735:20548",0,1,0,0,0
"M00123:211:000000000-BYH2N:1:2119:14675:13408",0,1,0,0,0
"G3st46.c18f23s29",0,0,1,0,0
"G3st30.c4f27s33",0,0,1,0,0
"M00123:211:000000000-BYH2N:1:2110:12121:8853",0,1,0,0,0
"M00123:210:000000000-BTDTV:1:1119:19927:14911",0,1,0,0,0
"G3st46.c28f16s22",0,0,1,0,0
"G3st13.c41f15s17",0,0,1,0,0
"G3st8.c25f11s19",0,0,1,0,0
"G3st30.c10f20s24",0,0,1,0,0
"Gc31.c17f4s6",0,0,1,0,0
"Gc27.c34f6s12",0,0,1,0,0
"Gc47.c17f82s113",0,0,1,0,0
"V7.c14f27s36",0,0,1,1,1
"Gc5.c37f7s9",0,0,1,0,0
"Gc22.c22f10s15",0,0,1,0,0
"M00123:211:000000000-BYH2N:1:1104:16479:9787",0,0,1,1,1
"G3st22.c16f19s27",0,0,1,1,1
"G3st19.c34f16s24",0,0,1,0,1
"G3st28.c26f5s9",0,0,1,0,1
"Col23.c18f3s3",1,0,1,1,1
"Gc35.c19f19s33",0,0,1,0,0
"P16.c4f53s70",0,0,1,1,1
"G3st7.c0f52s75",0,0,1,0,1
"Gc2.c30f24s40",0,0,1,0,1
"V6.c39f4s4",1,1,1,0,1
"M00123:211:000000000-BYH2N:1:2111:13423:8767",1,1,0,0,0
"Col2.c29f13s14",1,1,0,0,0
"V10.c32f14s24",0,0,1,1,1
"G3st25.c27f53s77",0,0,1,1,0
"Gc46.c38f11s23",0,0,1,1,0
"Gc17.c12f15s22",0,0,1,1,1
"Col11.c7f21s26",1,1,0,1,1
"Col2.c27f11s15",1,1,1,0,1
"V15.c4f35s48",1,1,0,0,1
"G3st19.c67f10s13",0,0,1,1,1
"Col1.c20f58s69",1,1,0,0,1
