case_a,case_b,n_parasite_a,n_parasite_b,n_shared_ab,s_mean,s_lower_95hpdi,s_upper_95hpdi,xb_mean,xb_lower_95hpdi,xb_upper_95hpdi,xa_mean,xa_lower_95hpdi,xa_upper_95hpdi,x_mean,x_lower_95hpdi,x_upper_95hpdi
EC2,EC1,11,30,9,39.14733333,31,48,0.87301634,0.68,1,0.875089315,0.6875,1,0.871971364,0.694736842,1
EC3,EC1,37,30,30,42.83066667,39,48,0.95070657,0.836734694,1,0.953101038,0.836734694,1,0.949548668,0.888888889,1
EC4,EC1,37,30,30,42.83066667,39,48,0.95070657,0.836734694,1,0.953101038,0.836734694,1,0.949548668,0.888888889,1
EC5,EC1,38,30,30,42.66866667,39,48,0.953666698,0.836734694,1,0.951893701,0.84,1,0.950468681,0.888888889,1
EC6,EC1,35,30,30,42.88333333,39,48,0.95420484,0.84,1,0.953764814,0.836734694,1,0.951774022,0.898876404,1
EC7,EC1,19,30,16,41.24266667,34,47,0.919323008,0.790697674,1,0.912877148,0.78,1,0.913777701,0.808510638,1
EC8,EC1,37,30,30,42.83066667,39,48,0.95070657,0.836734694,1,0.953101038,0.836734694,1,0.949548668,0.888888889,1
EC9,EC1,38,30,30,42.66866667,39,48,0.953666698,0.836734694,1,0.951893701,0.84,1,0.950468681,0.888888889,1
EC10,EC1,35,30,30,42.88333333,39,48,0.95420484,0.84,1,0.953764814,0.836734694,1,0.951774022,0.898876404,1
EC11,EC1,37,30,30,42.83066667,39,48,0.95070657,0.836734694,1,0.953101038,0.836734694,1,0.949548668,0.888888889,1
EC12,EC1,38,30,30,42.66866667,39,48,0.953666698,0.836734694,1,0.951893701,0.84,1,0.950468681,0.888888889,1
EC13,EC1,37,30,29,42.76733333,39,48,0.950533141,0.833333333,1,0.951979209,0.84,1,0.94904119,0.888888889,1
EC14,EC1,37,30,29,42.76733333,39,48,0.950533141,0.833333333,1,0.951979209,0.84,1,0.94904119,0.888888889,1
EC15,EC1,37,30,29,42.76733333,39,48,0.950533141,0.833333333,1,0.951979209,0.84,1,0.94904119,0.888888889,1
EC16,EC1,37,30,30,42.83066667,39,48,0.95070657,0.836734694,1,0.953101038,0.836734694,1,0.949548668,0.888888889,1
EC17,EC1,37,30,30,42.83066667,39,48,0.95070657,0.836734694,1,0.953101038,0.836734694,1,0.949548668,0.888888889,1
EC18,EC1,37,30,30,42.83066667,39,48,0.95070657,0.836734694,1,0.953101038,0.836734694,1,0.949548668,0.888888889,1
