"DBLa_type","ECPf003","ECPf004","ECPf006","ECPf007","ECPf008","ECPf010","ECPf011","ECPf012","ECPf013","ECPf014","ECPf015","ECPf016","ECPf017","ECPf018","ECPf019","ECPf020","ECPf021","ECPf022","ECPf023","ECPf024","ECPf025","ECPf026","ECPf027","ECPf028","ECPf033","ECPf034","ECPf035","ECPf036","ECPf037","ECPf038","ECPf039","ECPf040","ECPf041","ECPf042","ECPf043","ECPf044","ECPf045","ECPf047","ECPf049","ECPf050","ECPf051","ECPf053","ECPf055","ECPf056","ECPf057","ECPf058","ECPf059","ECPf060","ECPf061","ECPf062","ECPf063","ECPf064","ECPf065","ECPf066","ECPf067","ECPf072","ECPf074","ECPf076"
"M00123:211:000000000-BYH2N:1:1114:7575:23737",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00123:211:000000000-BYH2N:1:1115:23610:21855",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"M00123:211:000000000-BYH2N:1:2117:21308:19287",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"M00123:210:000000000-BTDTV:1:2103:6764:11299",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00123:210:000000000-BTDTV:1:1114:14737:8935",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
"M00123:210:000000000-BTDTV:1:1104:2955:13581",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"M00123:210:000000000-BTDTV:1:2104:5314:10310",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
"M00123:210:000000000-BTDTV:1:1103:16191:18247",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"M00123:211:000000000-BYH2N:1:1106:26301:11960",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
"M00123:211:000000000-BYH2N:1:1109:4149:11936",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
